,PredictorA,PredictorB
1,0.1582,0.1609
2,0.6552,0.4918
3,0.706,0.6333
4,0.1992,0.0881
5,0.3952,0.4152
6,0.425,0.2988
7,0.0658,0.1786
8,0.3086,0.2802
9,0.1654,0.1156
10,0.1056,0.0801
11,0.0996,0.0492
12,0.0847,0.0548
13,0.1215,0.1097
14,0.2547,0.1896
15,0.1901,0.164
16,0.3645,0.2476
17,0.2237,0.2328
18,0.1601,0.1237
19,0.137,0.1675
20,0.5419,0.5832
21,0.2909,0.3021
22,0.4129,0.2869
23,0.1892,0.1456
24,0.0622,0.074
25,0.0472,0.0414
26,0.0942,0.0841
27,0.1518,0.0847
28,0.3476,0.168
29,0.3282,0.3376
30,0.371,0.2607
31,0.2434,0.1934
32,0.1167,0.197
33,0.0639,0.0728
34,0.2375,0.1109
35,0.2555,0.1767
36,0.1785,0.2327
37,0.0273,0.1303
38,0.0522,0.1475
39,0.052,0.1152
40,0.0898,0.1579
41,0.0922,0.1606
42,0.1599,0.0888
43,0.1935,0.0869
44,0.3738,0.2132
45,0.0861,0.0891
46,0.3332,0.2459
47,0.294,0.3336
48,0.2565,0.1564
49,0.3473,0.1459
50,0.372,0.2143
51,0.0979,0.1078
52,0.0844,0.075
53,0.1862,0.1315
54,0.1209,0.0528
55,0.1475,0.1445
56,0.1387,0.1742
57,0.2115,0.1911
58,0.078,0.1564
59,0.0948,0.1442
60,0.05,0.0888
61,0.11,0.1532
62,0.1112,0.1576
63,0.1101,0.0775
64,0.0909,0.0978
65,0.1554,0.0289
66,0.1854,0.0526
67,0.206,0.0327
68,0.2545,0.0906
69,0.1322,0.1522
70,0.1102,0.1203
71,0.0827,0.0937
72,0.1245,0.0937
73,0.1179,0.1063
74,0.0828,0.1261
75,0.0501,0.0972
76,0.0269,0.0843
77,0.0259,0.0938
78,0.0689,0.0357
79,0.1382,0.0575
80,0.1412,0.1106
81,0.3358,0.2709
82,0.3565,0.3242
83,0.3323,0.2373
84,0.4113,0.4079
85,0.3118,0.3135
86,0.0387,0.3042
87,0.1523,0.2139
88,0.0946,0.2707
89,0.0906,0.2366
90,0.0837,0.2974
91,0.1207,0.3015
92,0.3223,0.2653
93,0.2187,0.103
94,0.3259,0.2693
95,0.225,0.0994
96,0.0794,0.0942
97,0.0671,0.0904
98,0.2497,0.0947
99,0.2259,0.2907
100,0.2615,0.2251
101,0.5205,0.5466
102,0.5771,0.5533
103,0.4257,0.3208
104,0.4754,0.2969
105,0.4992,0.3877
106,0.3988,0.25
107,0.1734,0.0897
108,0.2473,0.1255
109,0.2023,0.1582
110,0.084,0.1132
111,0.1741,0.1125
112,0.2226,0.161
113,0.3323,0.2799
114,0.2869,0.1995
115,0.2973,0.2486
116,0.3025,0.2309
117,0.3106,0.2228
118,0.3109,0.2621
119,0.2154,0.1989
120,0.365,0.289
121,0.239,0.1809
122,0.2568,0.2164
123,0.2961,0.2855
124,0.2399,0.221
125,0.3934,0.3645
126,0.3643,0.333
127,0.5249,0.4867
128,0.1334,0.3943
129,0.3999,0.3483
130,0.5484,0.4257
131,0.5364,0.3794
132,0.0991,0.3816
133,0.17,0.3488
134,0.2583,0.5002
135,0.2251,0.5304
136,0.0834,0.335
137,0.2362,0.4733
138,0.5033,0.7342
139,0.316,0.1739
140,0.2681,0.1791
141,0.2671,0.1546
142,0.1764,0.234
143,0.2807,0.2544
144,0.2778,0.2646
145,0.0904,0.0523
146,0.392,0.2534
147,0.2631,0.2509
148,0.1377,0.2128
149,0.3985,0.2891
150,0.1787,0.1796
151,0.1556,0.1748
152,0.152,0.2245
153,0.199,0.2295
154,0.0236,0.1239
155,0.0754,0.118
156,0.0367,0.0785
157,0.3263,0.3265
158,0.3037,0.2188
159,0.3431,0.3104
160,0.2484,0.2946
161,0.2601,0.2506
162,0.2621,0.2192
163,0.2087,0.2343
164,0.288,0.2472
165,0.375,0.3691
166,0.2984,0.2549
167,0.1335,0.137
168,0.1084,0.11
169,0.2575,0.2118
170,0.2389,0.2026
171,0.2325,0.2405
172,0.4507,0.6254
173,0.3035,0.3273
174,0.3161,0.3056
175,0.5239,0.4786
176,0.5044,0.4231
177,0.5632,0.4674
178,0.3108,0.2931
179,0.247,0.1734
180,0.3404,0.3078
181,0.5611,0.5222
182,0.4292,0.3412
183,0.4499,0.4229
184,0.5148,0.4025
185,0.5679,0.6675
186,0.5341,0.5245
187,0.3669,0.3504
188,0.2935,0.2936
189,0.3094,0.3003
190,0.2719,0.2361
191,0.2783,0.2476
192,0.2536,0.2128
193,0.2712,0.2481
194,0.2721,0.2198
195,0.3049,0.268
196,0.3134,0.2431
197,0.3484,0.2521
198,0.2648,0.2222
199,0.31,0.2652
200,0.2882,0.3171
201,0.3738,0.3468
202,0.3553,0.3188
203,0.3309,0.3941
204,0.2933,0.3108
205,0.3425,0.3085
206,0.2374,0.2716
207,0.2812,0.2898
208,0.2442,0.272
